nohup: ignoring input
 INFO  Accepting connections at http://localhost:3006
 HTTP  1/2/2026 5:12:47 PM 106.213.80.187 GET /
 HTTP  1/2/2026 5:12:47 PM 106.213.80.187 Returned 304 in 12 ms
 HTTP  1/2/2026 5:12:47 PM 106.213.80.187 GET /static/js/main.afdb2ead.js
 HTTP  1/2/2026 5:12:47 PM 106.213.80.187 GET /static/css/main.aaa70fa7.css
 HTTP  1/2/2026 5:12:47 PM 106.213.80.187 Returned 304 in 2 ms
 HTTP  1/2/2026 5:12:47 PM 106.213.80.187 Returned 304 in 4 ms
 HTTP  1/2/2026 5:12:47 PM 106.213.80.187 GET /favicon.ico
 HTTP  1/2/2026 5:12:47 PM 106.213.80.187 Returned 304 in 1 ms
 HTTP  1/2/2026 5:13:20 PM 77.37.45.138 GET /
 HTTP  1/2/2026 5:13:20 PM 77.37.45.138 Returned 200 in 2 ms
 HTTP  1/2/2026 5:13:47 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:13:47 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:14:17 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:14:17 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:14:47 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:14:47 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:14:49 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:14:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:15:05 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:15:05 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  1/2/2026 5:15:17 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:15:17 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:15:47 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:15:47 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:16:17 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:16:17 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:16:48 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:16:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:17:18 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:17:18 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:17:48 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:17:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:18:18 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:18:18 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:18:48 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:18:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:19:18 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:19:18 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  1/2/2026 5:19:48 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:19:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:20:18 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:20:18 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:20:48 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:20:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:21:18 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:21:18 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:21:48 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:21:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:22:18 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:22:18 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:22:48 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:22:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:23:18 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:23:18 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/2/2026 5:23:48 PM 127.0.0.1 GET /
 HTTP  1/2/2026 5:23:48 PM 127.0.0.1 Returned 200 in 1 ms
